email,regex,mx,smtp,status
kaiserdavid@wagner-farmer.com,valid,invalid,-,Invalid
patriciawarren@hernandez-kelly.com,valid,invalid,-,Invalid
margaretcabrera@wright-kelly.com,valid,invalid,-,Invalid
rebeccafletcher@chaney-aguilar.com,valid,invalid,-,Invalid
lauragibson@wilson-hernandez.org,valid,invalid,-,Invalid
brittney29@king-rivera.net,valid,invalid,-,Invalid
ryanmoreno@chung-newman.org,valid,invalid,-,Invalid
youngdana@yahoo.com,valid,valid,invalid,Invalid
donnasmith@hayes.com,valid,invalid,-,Invalid
jacobmcmahon@yahoo.com,valid,valid,invalid,Invalid
lawrencebarbara@yahoo.com,valid,valid,invalid,Invalid
justinlyons@yahoo.com,valid,valid,invalid,Invalid
carterdanielle@hotmail.com,valid,valid,invalid,Invalid
laurentodd@hotmail.com,valid,valid,invalid,Invalid
rsanchez@yahoo.com,valid,valid,invalid,Invalid
dana50@hotmail.com,valid,valid,invalid,Invalid
alexis73@yahoo.com,valid,valid,invalid,Invalid
vdennis@hotmail.com,valid,valid,invalid,Invalid
brenttaylor@hotmail.com,valid,valid,invalid,Invalid
wvillanueva@hotmail.com,valid,valid,invalid,Invalid
salazardenise@yahoo.com,valid,valid,invalid,Invalid
ericabecker@yahoo.com,valid,valid,invalid,Invalid
jamiemartin@hotmail.com,valid,valid,invalid,Invalid
victoria65@hotmail.com,valid,valid,invalid,Invalid
jeffreyoliver@yahoo.com,valid,valid,invalid,Invalid
jackiephillips@hotmail.com,valid,valid,invalid,Invalid
janetyoder@hotmail.com,valid,valid,invalid,Invalid
john06@hotmail.com,valid,valid,invalid,Invalid
elizabeth23@yahoo.com,valid,valid,invalid,Invalid
glowe@gmail.com,valid,valid,invalid,Invalid
dustinterrell@yahoo.com,valid,valid,invalid,Invalid
richardstephanie@kelly-sutton.com,valid,invalid,-,Invalid
michael31@gomez.net,valid,valid,invalid,Invalid
troy67@yahoo.com,valid,valid,invalid,Invalid
brandon10@carey-park.com,valid,invalid,-,Invalid
shane92@schneider-scott.com,valid,invalid,-,Invalid
valerie11@smith-diaz.biz,valid,invalid,-,Invalid
tmercado@trujillo.biz,valid,invalid,-,Invalid
bethanyrocha@yahoo.com,valid,valid,invalid,Invalid
vazquezbruce@hotmail.com,valid,valid,invalid,Invalid
matthew83@prince-burns.net,valid,invalid,-,Invalid
mmcdowell@yahoo.com,valid,valid,invalid,Invalid
josephperez@spencer-smith.biz,valid,invalid,-,Invalid
darren97@yahoo.com,valid,valid,invalid,Invalid
peterwilson@webb.net,valid,invalid,-,Invalid
timothycordova@reyes-martinez.com,valid,invalid,-,Invalid
cpeters@hotmail.com,valid,valid,invalid,Invalid
moniquehernandez@freeman.com,valid,valid,invalid,Invalid
efriedman@miller.info,valid,valid,invalid,Invalid
mdelgado@gmail.com,valid,valid,invalid,Invalid
alexandra39@hotmail.com,valid,valid,invalid,Invalid
bruceharris@hotmail.com,valid,valid,invalid,Invalid
ricardogarcia@odonnell.biz,valid,valid,invalid,Invalid
matthew62@miles.biz,valid,invalid,-,Invalid
bjohnson@hotmail.com,valid,valid,invalid,Invalid
sparksjoseph@griffin.com,valid,valid,invalid,Invalid
fpatton@yahoo.com,valid,valid,invalid,Invalid
jamesweaver@hotmail.com,valid,valid,invalid,Invalid
courtneyduffy@yahoo.com,valid,valid,invalid,Invalid
valdezwesley@thomas.net,valid,valid,invalid,Invalid
vvazquez@hotmail.com,valid,valid,invalid,Invalid
danielle64@lopez.net,valid,valid,invalid,Invalid
iyork@henderson.org,valid,valid,invalid,Invalid
ocarter@smith.org,valid,valid,invalid,Invalid
stanley35@murphy.com,valid,invalid,-,Invalid
michael06@jimenez.org,valid,invalid,-,Invalid
baileyrodney@crawford-jones.com,valid,valid,invalid,Invalid
lclark@hotmail.com,valid,valid,invalid,Invalid
shane62@smith.com,valid,invalid,-,Invalid
cmayer@morales-mccoy.net,valid,invalid,-,Invalid
jamesmacias@yahoo.com,valid,valid,invalid,Invalid
cameron50@garcia.com,valid,invalid,-,Invalid
tina04@preston-patel.net,valid,invalid,-,Invalid
timothy98@bennett.com,valid,valid,invalid,Invalid
aglenn@yahoo.com,valid,valid,invalid,Invalid
jeffreyterry@yahoo.com,valid,valid,invalid,Invalid
diamond91@yahoo.com,valid,valid,invalid,Invalid
williamsoncynthia@hotmail.com,valid,valid,invalid,Invalid
rodriguezmichael@hotmail.com,valid,valid,invalid,Invalid
xrobinson@hotmail.com,valid,valid,invalid,Invalid
tinadominguez@hotmail.com,valid,valid,invalid,Invalid
sparksariel@russell.com,valid,valid,invalid,Invalid
costaroy@hotmail.com,valid,valid,invalid,Invalid
douglasriley@church.org,valid,valid,invalid,Invalid
sharonfloyd@yahoo.com,valid,valid,invalid,Invalid
smithjennifer@meadows-boyer.info,valid,invalid,-,Invalid
joseph89@yahoo.com,valid,valid,invalid,Invalid
stephensjohn@yahoo.com,valid,valid,invalid,Invalid
amberherrera@soto.com,valid,valid,invalid,Invalid
regina02@johnson.com,valid,invalid,-,Invalid
cody07@hotmail.com,valid,valid,invalid,Invalid
timothy32@kelly-foster.info,valid,invalid,-,Invalid
ysellers@hotmail.com,valid,valid,invalid,Invalid
michaelrichard@yahoo.com,valid,valid,invalid,Invalid
vanessabarnes@moore.com,valid,valid,invalid,Invalid
gsimmons@yahoo.com,valid,valid,invalid,Invalid
flarson@espinoza.info,valid,invalid,-,Invalid
swilliams@brown.com,valid,valid,invalid,Invalid
kelly02@russell.org,valid,valid,invalid,Invalid
karen61@yahoo.com,valid,valid,invalid,Invalid
iclements@casey.com,valid,valid,invalid,Invalid
jonespenny@hotmail.com,valid,valid,invalid,Invalid
jaredgarcia@hotmail.com,valid,valid,invalid,Invalid
dawn33@boone.com,valid,invalid,-,Invalid
jwarren@hotmail.com,valid,valid,invalid,Invalid
ttaylor@yahoo.com,valid,valid,invalid,Invalid
eric41@hotmail.com,valid,valid,invalid,Invalid
michele66@hotmail.com,valid,valid,invalid,Invalid
andrewbrewer@jones.info,valid,valid,invalid,Invalid
brandi81@collins-murphy.com,valid,invalid,-,Invalid
david42@tucker.biz,valid,invalid,-,Invalid
ifrank@yahoo.com,valid,valid,invalid,Invalid
matthewmitchell@yahoo.com,valid,valid,invalid,Invalid
smithsonya@richards.com,valid,valid,invalid,Invalid
oadams@mora.com,valid,valid,invalid,Invalid
schmidtchad@yahoo.com,valid,valid,invalid,Invalid
elopez@hotmail.com,valid,valid,invalid,Invalid
zoetaylor@hotmail.com,valid,valid,invalid,Invalid
frodriguez@green-cameron.com,valid,valid,invalid,Invalid
jamesmay@yahoo.com,valid,valid,invalid,Invalid
oknox@hotmail.com,valid,valid,invalid,Invalid
gmarsh@yahoo.com,valid,valid,invalid,Invalid
olsonanthony@yahoo.com,valid,valid,invalid,Invalid
xwatts@hotmail.com,valid,valid,invalid,Invalid
greg38@yahoo.com,valid,valid,invalid,Invalid
wilsonroger@yahoo.com,valid,valid,invalid,Invalid
asmith@gallegos.com,valid,valid,invalid,Invalid
swansoncynthia@gmail.com,valid,invalid,-,Invalid
gibbskimberly@mason.com,valid,valid,invalid,Invalid
gwilliams@willis.net,valid,valid,invalid,Invalid
peter09@livingston.org,valid,valid,invalid,Invalid
sandra02@pruitt-tanner.org,valid,invalid,-,Invalid
garzafelicia@mason.com,valid,valid,invalid,Invalid
zoe65@guzman.com,valid,valid,invalid,Invalid
cooperkristen@mitchell.info,valid,valid,invalid,Invalid
rkent@wilkinson.com,valid,valid,invalid,Invalid
thomasvaldez@anderson.org,valid,invalid,-,Invalid
lori80@ortega-king.com,valid,invalid,-,Invalid
jeremiaharnold@andersen.net,valid,invalid,-,Invalid
jsmith@cooper-poole.com,valid,invalid,-,Invalid
knightteresa@santos.biz,valid,valid,invalid,Invalid
carrdeanna@walsh.com,valid,valid,invalid,Invalid
johnsonanthony@gmail.com,valid,valid,invalid,Invalid
ryanwilliams@brown.net,valid,valid,invalid,Invalid
zhaynes@mcdowell.com,valid,valid,invalid,Invalid
krosario@daniels.com,valid,valid,invalid,Invalid
zcowan@adkins.com,valid,valid,invalid,Invalid
grahamdenise@dunn.com,valid,valid,invalid,Invalid
ptaylor@west.info,valid,invalid,-,Invalid
philipswanson@sanchez.org,valid,invalid,-,Invalid
dennissamantha@watts-murray.net,valid,invalid,-,Invalid
ymartinez@garcia-pierce.com,valid,invalid,-,Invalid
uking@hotmail.com,valid,valid,invalid,Invalid
andrewelliott@hotmail.com,valid,valid,invalid,Invalid
adavis@hotmail.com,valid,valid,invalid,Invalid
cynthia22@hotmail.com,valid,valid,invalid,Invalid
xmiller@hotmail.com,valid,valid,invalid,Invalid
denisewalker@hotmail.com,valid,valid,invalid,Invalid
nguyenkimberly@hotmail.com,valid,valid,invalid,Invalid
johnsmith@hotmail.com,valid,valid,invalid,Invalid
uwilson@hotmail.com,valid,valid,invalid,Invalid
barrettwilliam@hotmail.com,valid,valid,invalid,Invalid
elliscarl@hotmail.com,valid,valid,invalid,Invalid
dillon28@marks.net,valid,valid,invalid,Invalid
thomasronald@wilkinson.org,valid,valid,invalid,Invalid
johnsonmartin@camacho.com,valid,valid,invalid,Invalid
sonya32@yahoo.com,valid,valid,invalid,Invalid
palexander@yahoo.com,valid,valid,invalid,Invalid
steven79@yahoo.com,valid,valid,invalid,Invalid
llewis@yahoo.com,valid,valid,invalid,Invalid
kayla02@yahoo.com,valid,valid,invalid,Invalid
allison87@hall.com,valid,invalid,-,Invalid
welchdrew@williamson.com,valid,invalid,-,Invalid
walkerrodney@hotmail.com,valid,invalid,-,Invalid
bradley89@payne.info,valid,invalid,-,Invalid
david44@baker.com,valid,invalid,-,Invalid
joshuabrooks@yang.org,valid,invalid,-,Invalid
andrew42@yahoo.com,valid,invalid,-,Invalid
donaldbenson@morris.com,valid,invalid,-,Invalid
kimberly64@davis.com,valid,invalid,-,Invalid
stephen94@spencer-cooper.info,valid,invalid,-,Invalid
grandall@george.com,valid,invalid,-,Invalid
amcgee@gmail.com,valid,valid,invalid,Invalid
anasmith@gmail.com,valid,valid,invalid,Invalid
ocoleman@thompson.com,valid,valid,invalid,Invalid
jmiller@morse.com,valid,valid,invalid,Invalid
farrellashley@campos.org,valid,valid,invalid,Invalid
amygarcia@pham-tran.com,valid,valid,invalid,Invalid
